Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
4,NCL_SYS_06_FBBN_BFX,avg_p_DUT_2_1,164.8e-9,,,
4,NCL_SYS_06_FBBN_BFX,avg_p_DUT_3_1,164.8e-9,,,
4,NCL_SYS_06_FBBN_BFX,avg_p_reg_in,232.1e-9,,,
4,NCL_SYS_06_FBBN_BFX,avg_p_reg_o,128.8e-9,,,
4,NCL_SYS_06_FBBN_BFX,/DN_out,,,,
4,NCL_SYS_06_FBBN_BFX,/nDN_out,,,,
4,NCL_SYS_06_FBBN_BFX,/DN_in,,,,
4,NCL_SYS_06_FBBN_BFX,/FBBP_en,,,,
4,NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_R,69.25e-12,,,
4,NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_F,131.1e-12,,,
4,NCL_SYS_06_FBBN_BFX,DN_in_2_FBBP_en_delay_F,157.4e-12,,,
4,NCL_SYS_06_FBBN_BFX,DN_out_2_FBBP_en_delay_R,121.4e-12,,,
4,NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_F,1.104e-9,,,
4,NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_R,3.186e-9,,,
4,NCL_SYS_06_FBBN_BFX,avg_p_DN_in_DET,3.709e-9,,,
4,NCL_SYS_06_FBBN_BFX,avg_p_DN_out_DET,3.895e-9,,,
4,NCL_SYS_06_FBBN_BFX,avg_p_OR,4.053e-9,,,
4,NCL_SYS_06_FBBN_BFX,avg_p_NLS,514.3e-9,,,
4,NCL_SYS_06_FBBN_BFX,avg_p_DN_out_INV,3.101e-9,,,
4,NCL_SYS_06_FBBN_BFX,avg_p_FBBP_CIRCUIT,529.1e-9,,,
"Parameters: BFx50_S1nW=240n, BFx50_S1pW=400n",,,,,,
5,NCL_SYS_06_FBBN_BFX,V_SUPPLY,,,,
5,NCL_SYS_06_FBBN_BFX,V_FBBP,,,,
5,NCL_SYS_06_FBBN_BFX,FBBN_net,,,,
5,NCL_SYS_06_FBBN_BFX,A<15:0>,,,,
5,NCL_SYS_06_FBBN_BFX,B<15:0>,,,,
5,NCL_SYS_06_FBBN_BFX,CI<1:0>,,,,
5,NCL_SYS_06_FBBN_BFX,SUM<15:0>,,,,
5,NCL_SYS_06_FBBN_BFX,CO<1:0>,,,,
5,NCL_SYS_06_FBBN_BFX,Reg_O_ko,,,,
5,NCL_SYS_06_FBBN_BFX,Reg_I_ko,,,,
5,NCL_SYS_06_FBBN_BFX,regA,,,,
5,NCL_SYS_06_FBBN_BFX,regB,,,,
5,NCL_SYS_06_FBBN_BFX,regCI,,,,
5,NCL_SYS_06_FBBN_BFX,VDD_90pc,405e-3,,,
5,NCL_SYS_06_FBBN_BFX,VDD_10pc,45e-3,,,
5,NCL_SYS_06_FBBN_BFX,VNEG_90pc,-405e-3,,,
5,NCL_SYS_06_FBBN_BFX,VNEG_10pc,-45e-3,,,
5,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_R,13.97e-9,,,
5,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_F,17.71e-9,,,
5,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_SUM,31.68e-9,,,
5,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_R,290.2e-12,,,
5,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_F,269e-12,,,
5,NCL_SYS_06_FBBN_BFX,avg_p_ALL,3.838e-6,,,
5,NCL_SYS_06_FBBN_BFX,avg_p_DUT_1_1,162.9e-9,,,
5,NCL_SYS_06_FBBN_BFX,avg_p_DUT_2_1,164.8e-9,,,
5,NCL_SYS_06_FBBN_BFX,avg_p_DUT_3_1,164.8e-9,,,
5,NCL_SYS_06_FBBN_BFX,avg_p_reg_in,232.1e-9,,,
5,NCL_SYS_06_FBBN_BFX,avg_p_reg_o,128.8e-9,,,
5,NCL_SYS_06_FBBN_BFX,/DN_out,,,,
5,NCL_SYS_06_FBBN_BFX,/nDN_out,,,,
5,NCL_SYS_06_FBBN_BFX,/DN_in,,,,
5,NCL_SYS_06_FBBN_BFX,/FBBP_en,,,,
5,NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_R,69.25e-12,,,
5,NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_F,131.1e-12,,,
5,NCL_SYS_06_FBBN_BFX,DN_in_2_FBBP_en_delay_F,157.4e-12,,,
5,NCL_SYS_06_FBBN_BFX,DN_out_2_FBBP_en_delay_R,121.4e-12,,,
5,NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_F,1.089e-9,,,
5,NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_R,2.512e-9,,,
5,NCL_SYS_06_FBBN_BFX,avg_p_DN_in_DET,3.709e-9,,,
5,NCL_SYS_06_FBBN_BFX,avg_p_DN_out_DET,3.894e-9,,,
5,NCL_SYS_06_FBBN_BFX,avg_p_OR,4.052e-9,,,
5,NCL_SYS_06_FBBN_BFX,avg_p_NLS,517.1e-9,,,
5,NCL_SYS_06_FBBN_BFX,avg_p_DN_out_INV,3.102e-9,,,
5,NCL_SYS_06_FBBN_BFX,avg_p_FBBP_CIRCUIT,531.8e-9,,,
"Parameters: BFx50_S1nW=240n, BFx50_S1pW=480n",,,,,,
6,NCL_SYS_06_FBBN_BFX,V_SUPPLY,,,,
6,NCL_SYS_06_FBBN_BFX,V_FBBP,,,,
6,NCL_SYS_06_FBBN_BFX,FBBN_net,,,,
6,NCL_SYS_06_FBBN_BFX,A<15:0>,,,,
6,NCL_SYS_06_FBBN_BFX,B<15:0>,,,,
6,NCL_SYS_06_FBBN_BFX,CI<1:0>,,,,
6,NCL_SYS_06_FBBN_BFX,SUM<15:0>,,,,
6,NCL_SYS_06_FBBN_BFX,CO<1:0>,,,,
6,NCL_SYS_06_FBBN_BFX,Reg_O_ko,,,,
6,NCL_SYS_06_FBBN_BFX,Reg_I_ko,,,,
6,NCL_SYS_06_FBBN_BFX,regA,,,,
6,NCL_SYS_06_FBBN_BFX,regB,,,,
6,NCL_SYS_06_FBBN_BFX,regCI,,,,
6,NCL_SYS_06_FBBN_BFX,VDD_90pc,405e-3,,,
6,NCL_SYS_06_FBBN_BFX,VDD_10pc,45e-3,,,
6,NCL_SYS_06_FBBN_BFX,VNEG_90pc,-405e-3,,,
6,NCL_SYS_06_FBBN_BFX,VNEG_10pc,-45e-3,,,
6,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_R,13.97e-9,,,
6,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_F,17.71e-9,,,
6,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_SUM,31.68e-9,,,
6,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_R,290.2e-12,,,
6,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_F,269e-12,,,
6,NCL_SYS_06_FBBN_BFX,avg_p_ALL,3.84e-6,,,
6,NCL_SYS_06_FBBN_BFX,avg_p_DUT_1_1,162.9e-9,,,
6,NCL_SYS_06_FBBN_BFX,avg_p_DUT_2_1,164.8e-9,,,
6,NCL_SYS_06_FBBN_BFX,avg_p_DUT_3_1,164.7e-9,,,
6,NCL_SYS_06_FBBN_BFX,avg_p_reg_in,232.1e-9,,,
6,NCL_SYS_06_FBBN_BFX,avg_p_reg_o,128.8e-9,,,
6,NCL_SYS_06_FBBN_BFX,/DN_out,,,,
6,NCL_SYS_06_FBBN_BFX,/nDN_out,,,,
6,NCL_SYS_06_FBBN_BFX,/DN_in,,,,
6,NCL_SYS_06_FBBN_BFX,/FBBP_en,,,,
6,NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_R,69.25e-12,,,
6,NCL_SYS_06_FBBN_BFX,A1_2_DN_in_delay_F,131.1e-12,,,
6,NCL_SYS_06_FBBN_BFX,DN_in_2_FBBP_en_delay_F,157.4e-12,,,
6,NCL_SYS_06_FBBN_BFX,DN_out_2_FBBP_en_delay_R,121.4e-12,,,
6,NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_F,1.08e-9,,,
6,NCL_SYS_06_FBBN_BFX,FBBP_en_2_P_net_delay_R,2.083e-9,,,
6,NCL_SYS_06_FBBN_BFX,avg_p_DN_in_DET,3.709e-9,,,
6,NCL_SYS_06_FBBN_BFX,avg_p_DN_out_DET,3.894e-9,,,
6,NCL_SYS_06_FBBN_BFX,avg_p_OR,4.053e-9,,,
6,NCL_SYS_06_FBBN_BFX,avg_p_NLS,519.7e-9,,,
6,NCL_SYS_06_FBBN_BFX,avg_p_DN_out_INV,3.101e-9,,,
6,NCL_SYS_06_FBBN_BFX,avg_p_FBBP_CIRCUIT,534.4e-9,,,

